Title20,ISO_ABBREV,TITLE,ISSN,ISSUES/YEAR,COUNTRY,LANGUAGE,1ST_YR_PUB,categories,TOT_CITES,CITES_JCR_YR,CITES_JCR_YR1,CITES_JCR_YR2,IF_NUMERATOR,CITES_JCR_YR3,CITES_JCR_YR4,CITES_JCR_YR5,5YR_IF_NUMERATOR,ITEMS_JCR_YR,ITEMS_JCR_YR1,ITEMS_JCR_YR2,IF_DENOMINATOR,ITEMS_JCR_YR3,ITEMS_JCR_YR4,ITEMS_JCR_YR5,5YR_IF_DENOMINATOR,IMPACT_FACTOR,IMMEDIACY_INDEX,CITED_HALF_LIFE,5YR_IMPACT_FACTOR,EIGENFACTOR,NORMEIGENFACTOR,ARTL_INFLUENCE,FREQUENCY,PUBCODE,PUBLISHER_NAME,CATEGORY_CODE,CATEGORY_DESCRIPTION,CATEGORY_RANKING,QUARTILE_RANK,JIF_PERCENTILE
EPILEPSY BEHAV,Epilepsy Behav.,EPILEPSY & BEHAVIOR,1525-5050,12,USA,ENGLISH,2000,CN RT VE,7444,222,756,816,1572,794,840,598,3804,434,330,344,674,293,364,290,1621,2.332,0.512,5.5,2.347,0.01618,1.84401,0.660,M,AH001,ACADEMIC PRESS INC ELSEVIER SCIENCE,CN,BEHAVIORAL SCIENCES,27/51,Q3,48.039
GENES BRAIN BEHAV,Genes Brain Behav.,GENES BRAIN AND BEHAVIOR,1601-1848,8,DENMARK,ENGLISH,2002,CN RU,3380,60,255,292,547,385,320,297,1549,58,82,85,167,107,93,103,470,3.275,1.034,6.2,3.296,0.00810,0.92362,1.140,B,FL501,WILEY-BLACKWELL,CN,BEHAVIORAL SCIENCES,8/51,Q1,85.294
HORM BEHAV,Horm. Behav.,HORMONES AND BEHAVIOR,0018-506X,10,USA,ENGLISH,1969,CN IA,9163,127,388,731,1119,916,647,680,3362,150,146,189,335,167,185,170,857,3.340,0.847,7.8,3.923,0.01595,1.81753,1.230,M,AH001,ACADEMIC PRESS INC ELSEVIER SCIENCE,CN,BEHAVIORAL SCIENCES,7/51,Q1,87.255
PHARMACOL BIOCHEM BE,Pharmacol. Biochem. Behav.,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,0091-3057,12,ENGLAND,ENGLISH,1973,CN RU TU,12490,83,578,688,1266,788,649,545,3248,218,254,245,499,272,267,225,1263,2.537,0.381,>10,2.572,0.01253,1.42828,0.656,M,UC250,PERGAMON-ELSEVIER SCIENCE LTD,CN,BEHAVIORAL SCIENCES,20/51,Q2,61.765
BIOCONJUGATE CHEM,Bioconjugate Chem.,BIOCONJUGATE CHEMISTRY,1043-1802,12,USA,ENGLISH,1990,CO CQ DY EE,14322,289,1075,968,2043,1150,1508,1229,5930,278,245,209,454,259,300,288,1301,4.500,1.040,7,4.558,0.02339,2.66607,1.189,M,BO001,AMER CHEMICAL SOC,CO,BIOCHEMICAL RESEARCH METHODS,10/77,Q1,87.662
BIOINFORMATICS,Bioinformatics,BIOINFORMATICS,1367-4803,24,ENGLAND,ENGLISH,1985,CO DB MC,72448,894,4200,3757,7957,5484,5560,8012,27013,766,731,649,1380,728,707,700,3515,5.766,1.167,6.8,7.685,0.18441,21.01962,3.469,S,TT001,OXFORD UNIV PRESS,CO,BIOCHEMICAL RESEARCH METHODS,7/77,Q1,91.558
BIOMED CHROMATOGR,Biomed. Chromatogr.,BIOMEDICAL CHROMATOGRAPHY,0269-3879,12,ENGLAND,ENGLISH,1986,CO CQ EA TU,3475,120,364,459,823,343,246,304,1716,251,235,241,476,218,161,185,1040,1.729,0.478,5.7,1.650,0.00559,0.63718,0.355,M,FL501,WILEY-BLACKWELL,CO,BIOCHEMICAL RESEARCH METHODS,52/77,Q3,33.117
BIOTECHNIQUES,Biotechniques,BIOTECHNIQUES,0736-6205,12,USA,ENGLISH,1983,CO CQ,7285,21,124,154,278,222,217,272,989,70,64,57,121,58,72,86,337,2.298,0.300,>10,2.935,0.00570,0.64953,1.118,M,ACG80,BIOTECHNIQUES OFFICE,CO,BIOCHEMICAL RESEARCH METHODS,41/77,Q3,47.403
CURR OPIN BIOTECH,Curr. Opin. Biotechnol.,CURRENT OPINION IN BIOTECHNOLOGY,0958-1669,6,ENGLAND,ENGLISH,1990,CO DB,12429,373,1280,1206,2486,1004,1167,831,5488,160,149,150,299,131,124,98,652,8.314,2.331,6.5,8.417,0.02597,2.95986,2.634,B,IE001,CURRENT BIOLOGY LTD,CO,BIOCHEMICAL RESEARCH METHODS,4/77,Q1,95.455
DRUG TEST ANAL,Drug Test. Anal.,Drug Testing and Analysis,1942-7603,12,ENGLAND,ENGLISH,2009,CO EA TU,1598,68,510,282,792,279,246,127,1444,131,157,120,277,141,102,72,592,2.859,0.519,2.8,2.439,0.00507,0.57801,0.566,M,FL501,WILEY-BLACKWELL,CO,BIOCHEMICAL RESEARCH METHODS,30/77,Q2,61.688
J IMMUNOL METHODS,J. Immunol. Methods,JOURNAL OF IMMUNOLOGICAL METHODS,0022-1759,12,NETHERLANDS,ENGLISH,1971,CO NI,11579,76,366,325,691,414,401,420,1926,176,175,197,372,187,186,178,923,1.858,0.432,>10,2.087,0.00992,1.13073,0.711,M,JM901,ELSEVIER SCIENCE BV,CO,BIOCHEMICAL RESEARCH METHODS,49/77,Q3,37.013
J MICROBIOL METH,J. Microbiol. Methods,JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012,12,NETHERLANDS,ENGLISH,1983,CO QU,9173,89,387,549,936,562,657,573,2728,267,253,251,504,249,252,209,1214,1.857,0.333,9.1,2.247,0.01145,1.30545,0.624,M,JM901,ELSEVIER SCIENCE BV,CO,BIOCHEMICAL RESEARCH METHODS,50/77,Q3,35.714
J CARDIOVASC PHARM T,J. Cardiovasc. Pharmacol. Ther.,JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,1074-2484,6,USA,ENGLISH,1995,DQ TU,1003,47,184,151,335,110,132,96,673,55,55,77,132,50,47,53,282,2.538,0.855,4.1,2.387,0.00293,0.33379,0.687,B,WH001,SAGE PUBLICATIONS INC,DQ,CARDIAC & CARDIOVASCULAR SYSTEMS,52/124,Q2,58.468
PEDIATR CARDIOL,Pediatr. Cardiol.,PEDIATRIC CARDIOLOGY,0172-0643,8,USA,ENGLISH,1980,DQ TQ,3423,81,294,477,771,319,269,246,1605,239,197,334,531,217,205,197,1150,1.452,0.339,6.1,1.396,0.00894,1.01892,0.514,B,YK501,SPRINGER,DQ,CARDIAC & CARDIOVASCULAR SYSTEMS,86/124,Q3,31.048
TEX HEART I J,Tex. Heart Inst. J.,TEXAS HEART INSTITUTE JOURNAL,1526-6702,6,USA,ENGLISH,1982,DQ,1355,19,90,115,205,144,122,115,586,102,136,124,260,195,159,154,768,0.788,0.186,6.8,0.763,0.00288,0.32842,0.248,B,ZI175,TEXAS HEART INST,DQ,CARDIAC & CARDIOVASCULAR SYSTEMS,111/124,Q4,10.887
ACTA NATURAE,Acta Naturae,Acta Naturae,2075-8251,4,RUSSIA,ENGLISH,2009,DR,420,11,64,90,154,60,89,56,359,60,45,42,87,37,41,45,210,1.770,0.183,3.8,1.710,0.00129,0.14685,0.406,Q,ACC74,RUSSIAN FEDERATION AGENCY SCIENCE & INNOVATION,DR,CELL BIOLOGY,152/187,Q4,18.984
AGEING RES REV,Ageing Res. Rev.,AGEING RESEARCH REVIEWS,1568-1637,4,IRELAND,ENGLISH,2001,DR LI,3482,92,399,760,1159,307,443,304,2213,74,61,93,154,41,53,54,302,7.526,1.243,4.4,7.328,0.00992,1.13027,2.171,Q,JN201,ELSEVIER IRELAND LTD,DR,CELL BIOLOGY,28/187,Q1,85.294
AM J PHYSIOL-CELL PH,Am. J. Physiol.-Cell Physiol.,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,0363-6143,12,USA,ENGLISH,1977,DR UM,16329,120,652,818,1470,1078,975,1114,4637,173,211,222,433,282,280,329,1324,3.395,0.694,8.9,3.502,0.02362,2.692,1.180,M,CV501,AMER PHYSIOLOGICAL SOC,DR,CELL BIOLOGY,89/187,Q2,52.674
CELL COMMUN ADHES,Cell Commun. Adhes.,CELL COMMUNICATION AND ADHESION,1541-9061,6,USA,ENGLISH,2001,CQ DR,449,1,42,44,86,16,20,10,132,3,26,18,44,11,12,9,76,1.955,0.333,8,1.737,0.00051,0.05784,0.442,B,ZA501,TAYLOR & FRANCIS LTD,DR,CELL BIOLOGY,146/187,Q4,22.193
ONLINE INFORM REV,Online Inf. Rev.,ONLINE INFORMATION REVIEW,1468-4527,6,ENGLAND,ENGLISH,2000,ET,716,4,55,59,114,79,115,67,375,52,51,48,99,49,48,51,247,1.152,0.077,5.7,1.518,0.00120,0.13666,0.321,B,QE469,EMERALD GROUP PUBLISHING LTD,ET,"COMPUTER SCIENCE, INFORMATION SYSTEMS",73/144,Q3,49.653
PHOTONIC NETW COMMUN,Photonic Netw. Commun.,PHOTONIC NETWORK COMMUNICATIONS,1387-974X,6,USA,ENGLISH,1999,ET SY YE,233,7,28,16,44,57,21,17,139,59,46,33,79,54,58,67,258,0.557,0.119,4.4,0.539,0.00074,0.08403,0.189,B,YK501,SPRINGER,ET,"COMPUTER SCIENCE, INFORMATION SYSTEMS",124/144,Q4,14.236
REQUIR ENG,Requir. Eng.,REQUIREMENTS ENGINEERING,0947-3602,4,USA,ENGLISH,1996,ET EW,375,7,13,29,42,23,36,42,143,21,21,17,38,17,17,20,92,1.105,0.333,8.2,1.554,0.00082,0.09352,0.590,Q,YK501,SPRINGER,ET,"COMPUTER SCIENCE, INFORMATION SYSTEMS",77/144,Q3,46.875
SIGMOD REC,Sigmod Rec.,SIGMOD RECORD,0163-5808,4,USA,ENGLISH,1976,ET EW,1322,1,11,33,44,43,32,37,156,17,32,31,63,25,19,20,127,0.698,0.059,>10,1.228,0.00113,0.12854,0.587,Q,EH001,ASSOC COMPUTING MACHINERY,ET,"COMPUTER SCIENCE, INFORMATION SYSTEMS",110/144,Q4,23.958
SUSTAIN COMPUT-INFOR,Sust. Comput.,Sustainable Computing-Informatics & Systems,2210-5379,4,NETHERLANDS,ENGLISH,2011,ES ET,76,0,19,10,29,21,25,0,75,23,27,24,51,18,25,0,94,0.569,0.000,,0.798,0.00054,0.06178,0.381,Q,JM901,ELSEVIER SCIENCE BV,ET,"COMPUTER SCIENCE, INFORMATION SYSTEMS",123/144,Q4,14.931
BIG DATA-US,Big Data,Big Data,2167-6461,4,USA,ENGLISH,2013,EV EX,83,5,16,62,78,0,0,0,78,26,20,26,46,0,0,0,46,1.696,0.192,,1.696,0.00055,0.06215,0.784,Q,PZ785,"MARY ANN LIEBERT, INC",EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",43/104,Q2,59.135
COMPUT BIOL CHEM,Comput. Biol. Chem.,COMPUTATIONAL BIOLOGY AND CHEMISTRY,1476-9271,6,ENGLAND,ENGLISH,2003,CU EV,853,27,79,66,145,61,76,81,363,96,82,61,143,33,46,41,263,1.014,0.281,6.4,1.380,0.00168,0.19111,0.422,B,JM451,ELSEVIER SCI LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",80/104,Q4,23.558
COMPUT GEOSCI-UK,Comput. Geosci.,COMPUTERS & GEOSCIENCES,0098-3004,12,ENGLAND,ENGLISH,1975,EV LE,7567,76,426,784,1210,772,579,401,2962,183,196,293,489,316,198,163,1166,2.474,0.415,7.6,2.540,0.01480,1.6867,0.839,M,UC250,PERGAMON-ELSEVIER SCIENCE LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",19/104,Q1,82.212
COMPUT MATH ORGAN TH,Comput. Math. Organ. Theory,Computational and Mathematical Organization Theory,1381-298X,4,USA,ENGLISH,1995,EV PO,335,3,5,12,17,32,9,18,76,20,19,27,46,23,16,17,102,0.370,0.150,9.7,0.745,0.00040,0.04546,0.259,Q,PA269,SPRINGER,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",102/104,Q4,2.404
COMPUT MUSIC J,Comput. Music J.,COMPUTER MUSIC JOURNAL,0148-9267,4,USA,ENGLISH,1977,EV,287,1,8,4,12,6,13,9,40,19,23,20,43,18,21,20,102,0.279,0.053,>10,0.392,0.00010,0.01109,0.063,Q,RA668,MIT PRESS,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",104/104,Q4,0.481
INT J ENG SCI,Int. J. Eng. Sci.,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,0020-7225,17,ENGLAND,MULTI-LANGUAGE,1963,IF,6048,111,384,366,750,421,333,379,1883,96,149,88,237,144,114,158,653,3.165,1.156,>10,2.884,0.00833,0.95,0.844,S,UC250,PERGAMON-ELSEVIER SCIENCE LTD,IF,"ENGINEERING, MULTIDISCIPLINARY",7/85,Q1,92.353
INT J UNCERTAIN QUAN,Int. J. Uncertain. Quantif.,International Journal for Uncertainty Quantification,2152-5080,6,USA,ENGLISH,2011,IF PO,107,1,17,36,53,24,28,0,105,28,24,29,53,23,18,0,94,1.000,0.036,3,1.117,0.00088,0.09979,0.616,B,FE858,BEGELL HOUSE INC,IF,"ENGINEERING, MULTIDISCIPLINARY",43/85,Q3,50
INTEGR COMPUT-AID E,Integr. Comput.-Aided Eng.,INTEGRATED COMPUTER-AIDED ENGINEERING,1069-2509,4,USA,ENGLISH,1994,EP EV IF,533,8,125,144,269,66,21,36,392,25,28,26,54,27,27,27,135,4.981,0.320,2.9,2.904,0.00124,0.14112,0.606,Q,NW696,IOS PRESS,IF,"ENGINEERING, MULTIDISCIPLINARY",1/85,Q1,99.412
MEAS SCI TECHNOL,Meas. Sci. Technol.,MEASUREMENT SCIENCE and TECHNOLOGY,0957-0233,12,ENGLAND,ENGLISH,1990,IF OA,10298,107,531,830,1361,697,667,746,3471,357,447,465,912,425,461,460,2258,1.492,0.300,8.2,1.537,0.01725,1.9661,0.505,M,NW493,IOP PUBLISHING LTD,IF,"ENGINEERING, MULTIDISCIPLINARY",26/85,Q2,70
SCI ENG ETHICS,Sci. Eng. Ethics,SCIENCE AND ENGINEERING ETHICS,1353-3452,4,NETHERLANDS,ENGLISH,1995,IF MQ RO,771,27,134,87,221,50,71,51,393,92,61,91,152,44,49,52,297,1.454,0.293,5.3,1.323,0.00177,0.20157,0.394,Q,PA269,SPRINGER,IF,"ENGINEERING, MULTIDISCIPLINARY",29/85,Q2,66.471
STRUCT MULTIDISCIP O,Struct. Multidiscip. Optim.,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,1615-147X,12,GERMANY (FED REP GER),ENGLISH,1989,EV IF PU,3896,33,211,436,647,302,348,440,1737,165,151,142,293,131,126,179,729,2.208,0.200,6.6,2.383,0.00947,1.07883,0.859,M,YK501,SPRINGER,IF,"ENGINEERING, MULTIDISCIPLINARY",13/85,Q1,85.294
BIOMATERIALS,Biomaterials,BIOMATERIALS,0142-9612,36,NETHERLANDS,ENGLISH,1980,IG QE,95025,1274,7429,8833,16262,8788,9532,9022,43604,757,948,991,1939,898,1007,1013,4857,8.387,1.683,6.4,8.978,0.14853,16.92931,2.022,F,JM451,ELSEVIER SCI LTD,IG,"ENGINEERING, BIOMEDICAL",2/76,Q1,98.026
J VIROL METHODS,J. Virol. Methods,JOURNAL OF VIROLOGICAL METHODS,0166-0934,16,NETHERLANDS,ENGLISH,1980,CO DB ZE,7297,82,466,618,1084,478,563,574,2699,243,344,375,719,265,307,353,1644,1.508,0.337,7.7,1.642,0.01211,1.38075,0.487,S,JM901,ELSEVIER SCIENCE BV,CO,BIOCHEMICAL RESEARCH METHODS,63/77,Q4,18.831
MOL IMAGING,Mol. Imaging,Molecular Imaging,1535-3508,6,USA,ENGLISH,2002,CO VY,1106,1,109,106,215,106,115,131,567,52,42,55,97,49,45,31,222,2.216,0.019,5.9,2.554,0.00263,0.30023,0.785,B,WH001,SAGE PUBLICATIONS INC,CO,BIOCHEMICAL RESEARCH METHODS,45/77,Q3,42.208
NEW BIOTECHNOL,New Biotech.,New Biotechnology,1871-6784,6,NETHERLANDS,ENGLISH,1984,CO DB,1668,90,233,282,515,262,254,250,1281,87,68,93,161,84,123,105,473,3.199,1.034,3.9,2.708,0.00520,0.59242,0.727,B,JM901,ELSEVIER SCIENCE BV,CO,BIOCHEMICAL RESEARCH METHODS,23/77,Q2,70.779
PLANT MOL BIOL REP,Plant Mol. Biol. Rep.,PLANT MOLECULAR BIOLOGY REPORTER,0735-9640,6,USA,ENGLISH,1983,CO DE,2932,57,279,313,592,263,196,144,1195,162,103,154,257,157,105,80,599,2.304,0.352,>10,1.995,0.00393,0.44844,0.434,B,YK501,SPRINGER,CO,BIOCHEMICAL RESEARCH METHODS,40/77,Q3,48.701
ACTA CRYSTALLOGR F,Acta Crystallogr. F-Struct. Biol. Commun.,Acta Crystallographica Section F-Structural Biology Communications,2053-230X,12,ENGLAND,ENGLISH,2005,CO CQ DA FI,1356,65,248,180,428,153,161,142,884,247,339,323,662,354,377,368,1761,0.647,0.263,4.2,0.502,0.00566,0.64504,0.213,M,ACV48,INT UNION CRYSTALLOGRAPHY,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,277/289,Q4,4.325
AMINO ACIDS,Amino Acids,AMINO ACIDS,0939-4451,8,AUSTRIA,ENGLISH,1991,CQ,7670,190,709,908,1617,1349,891,800,4657,225,250,256,506,458,234,322,1520,3.196,0.844,4.8,3.064,0.01832,2.08818,0.797,B,YK511,SPRINGER WIEN,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,114/289,Q2,60.727
ANNU REV BIOCHEM,Annu. Rev. Biochem..,Annual Review of Biochemistry,0066-4154,1,USA,ENGLISH,1932,CQ,19244,119,527,736,1263,1075,820,1155,4313,35,31,28,59,32,41,28,160,21.407,3.400,>10,26.956,0.03506,3.99623,14.490,A,DU607,ANNUAL REVIEWS,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,3/289,Q1,99.135
BBA-MOL CELL RES,Biochim. Biophys. Acta-Mol. Cell Res.,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,0167-4889,12,NETHERLANDS,DUTCH,1982,CQ DR,11947,234,1310,1854,3164,1250,1313,607,6334,296,276,341,617,228,223,136,1204,5.128,0.791,5,5.261,0.03363,3.83354,1.847,M,JM901,ELSEVIER SCIENCE BV,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,50/289,Q1,82.872
BIOCHEM BIOPH RES CO,Biochem. Biophys. Res. Commun.,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,0006-291X,52,USA,ENGLISH,1959,CQ DA,76694,771,3920,4262,8182,4208,3949,4846,21185,1864,1787,1664,3451,1755,1730,1921,8857,2.371,0.414,9.8,2.392,0.09005,10.26394,0.672,W,AH001,ACADEMIC PRESS INC ELSEVIER SCIENCE,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,173/289,Q3,40.311
BIOELECTROCHEMISTRY,Bioelectrochemistry,BIOELECTROCHEMISTRY,1567-5394,6,NETHERLANDS,ENGLISH,1974,CQ CU DA HQ,3837,134,204,212,416,443,209,388,1456,126,65,52,117,105,49,102,373,3.556,1.063,7.2,3.903,0.00445,0.50737,0.789,B,JN251,ELSEVIER SCIENCE SA,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,95/289,Q2,67.301
BIOORGAN MED CHEM,Bioorg. Med. Chem.,BIOORGANIC & MEDICINAL CHEMISTRY,0968-0896,24,ENGLAND,ENGLISH,1993,CQ DX EE,28151,446,1840,2597,4437,2202,2106,2534,11279,750,688,830,1518,739,785,889,3931,2.923,0.595,6.9,2.869,0.03772,4.2996,0.635,S,UC250,PERGAMON-ELSEVIER SCIENCE LTD,CQ,BIOCHEMISTRY & MOLECULAR BIOLOGY,125/289,Q2,56.92
CELL DEATH DIFFER,Cell Death Differ.,CELL DEATH AND DIFFERENTIATION,1350-9047,12,ENGLAND,ENGLISH,1994,CQ DR,16945,466,1390,1281,2671,1552,1399,1298,6920,176,172,153,325,190,174,174,863,8.218,2.648,6.8,8.019,0.03561,4.05863,2.728,M,SL810,NATURE PUBLISHING GROUP,DR,CELL BIOLOGY,24/187,Q1,87.433
CELL MOL BIOENG,Cell. Mol. Bioeng.,Cellular and Molecular Bioengineering,1865-5025,4,USA,ENGLISH,2008,CT DA DR,502,15,95,56,151,45,66,67,329,47,52,43,95,42,58,39,234,1.589,0.319,4.6,1.406,0.00176,0.20045,0.497,Q,YK501,SPRINGER,DR,CELL BIOLOGY,160/187,Q4,14.706
CELL STRESS CHAPERON,Cell Stress Chaperones,CELL STRESS & CHAPERONES,1355-8145,4,NETHERLANDS,ENGLISH,1996,DR,2544,62,206,215,421,225,172,265,1083,93,87,76,163,71,65,94,393,2.583,0.667,6.6,2.756,0.00442,0.50352,0.743,Q,PA269,SPRINGER,DR,CELL BIOLOGY,115/187,Q3,38.77
CELLS TISSUES ORGANS,Cells Tissues Organs,CELLS TISSUES ORGANS,1422-6405,12,SWITZERLAND,ENGLISH,1999,AY DR HY,2064,8,35,159,194,234,196,164,788,6,74,84,158,99,97,84,438,1.228,1.333,7.5,1.799,0.00343,0.39102,0.518,M,WG001,KARGER,DR,CELL BIOLOGY,170/187,Q4,9.358
CYTOKINE,Cytokine,CYTOKINE,1043-4666,12,ENGLAND,ENGLISH,1989,CQ DR NI,7587,284,462,949,1411,952,805,406,3574,309,150,330,480,321,275,175,1251,2.940,0.919,5.8,2.857,0.01497,1.70602,0.791,M,AH010,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,DR,CELL BIOLOGY,100/187,Q3,46.791
CYTOPATHOLOGY,Cytopathology,CYTOPATHOLOGY,0956-5507,6,ENGLAND,ENGLISH,1990,DR TM,849,18,84,78,162,53,69,71,355,47,45,47,92,59,58,54,263,1.761,0.383,6.9,1.350,0.00129,0.14721,0.325,B,FL501,WILEY-BLACKWELL,DR,CELL BIOLOGY,153/187,Q4,18.449
HISTOCHEM CELL BIOL,Histochem. Cell Biol.,HISTOCHEMISTRY AND CELL BIOLOGY,0948-6143,12,GERMANY (FED REP GER),ENGLISH,1995,DR RA,4056,51,331,325,656,323,223,202,1404,105,110,126,236,135,110,112,593,2.780,0.486,7.5,2.368,0.00651,0.74165,0.726,M,YK501,SPRINGER,DR,CELL BIOLOGY,106/187,Q3,43.583
IMMUNOL CELL BIOL,Immunol. Cell Biol.,IMMUNOLOGY AND CELL BIOLOGY,0818-9641,10,AUSTRALIA,ENGLISH,1987,DR NI,4333,143,392,364,756,455,378,278,1867,95,97,72,169,112,98,103,482,4.473,1.505,6.8,3.873,0.01047,1.19316,1.436,M,SL801,NATURE PUBLISHING GROUP,DR,CELL BIOLOGY,54/187,Q2,71.39
INT REV CEL MOL BIO,Int. Rev. Cell Mol. Biol.,International Review of Cell and Molecular Biology,1937-6448,0,USA,ENGLISH,1952,CQ DR,1289,27,176,218,394,213,188,140,935,7,49,56,105,49,43,32,229,3.752,3.857,4.1,4.083,0.00515,0.58755,1.489,I,AH001,ACADEMIC PRESS INC ELSEVIER SCIENCE,DR,CELL BIOLOGY,75/187,Q2,60.16
INFORMS J COMPUT,INFORMS J. Comput.,INFORMS JOURNAL ON COMPUTING,1091-9856,4,USA,ENGLISH,1989,EV PE,1262,5,57,90,147,69,76,93,385,50,60,58,118,46,46,46,256,1.246,0.100,8.4,1.504,0.00376,0.42821,0.970,Q,MX130,INFORMS,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",62/104,Q3,40.865
INT J COMPUT INTEG M,Int. J. Comput. Integr. Manuf.,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,0951-192X,12,ENGLAND,ENGLISH,1988,EV IK PE,1141,33,114,101,215,122,156,102,595,87,81,82,163,80,82,80,405,1.319,0.379,5.4,1.469,0.00182,0.20692,0.296,M,ZA501,TAYLOR & FRANCIS LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",60/104,Q3,42.788
INT J MOD PHYS C,Int. J. Mod. Phys. C,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,0129-1831,12,SINGAPORE,ENGLISH,1990,EV UR,1647,25,139,149,288,114,106,59,567,144,137,104,241,104,96,109,550,1.195,0.174,7.9,1.031,0.00254,0.28898,0.305,M,ZZ557,WORLD SCIENTIFIC PUBL CO PTE LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",64/104,Q3,38.942
INT J NUMER METH FL,Int. J. Numer. Methods Fluids,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,0271-2091,36,ENGLAND,ENGLISH,1981,EV PO PU UF,5193,21,134,326,460,351,465,268,1544,103,130,188,318,267,280,195,1060,1.447,0.204,9.6,1.457,0.01167,1.32978,0.728,F,FL501,WILEY-BLACKWELL,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",56/104,Q3,46.635
INT J RF MICROW C E,Int. J. RF Microw. Comput-Aid. Eng.,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,1096-4290,9,USA,ENGLISH,1998,EV IQ,391,4,39,48,87,55,42,40,224,96,85,81,166,77,84,81,408,0.524,0.042,5.2,0.549,0.00109,0.1243,0.177,M,FL501,WILEY-BLACKWELL,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",98/104,Q4,6.25
J COMB OPTIM,J. Comb. Optim.,JOURNAL OF COMBINATORIAL OPTIMIZATION,1382-6905,8,NETHERLANDS,ENGLISH,1997,EV PN,911,22,100,130,230,103,92,55,480,128,110,103,213,76,87,60,436,1.080,0.172,5.2,1.101,0.00440,0.501,0.667,B,PA269,SPRINGER,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",75/104,Q3,28.365
J COMPUT BIOL,J. Comput. Biol.,JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,12,USA,ENGLISH,1994,CO DB EV MC XY,2764,18,75,151,226,321,241,165,953,87,71,76,147,95,129,112,483,1.537,0.207,9.5,1.973,0.00755,0.86048,1.034,M,PZ785,"MARY ANN LIEBERT, INC",EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",50/104,Q2,52.404
J STAT COMPUT SIM,J. Stat. Comput. Simul.,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,0094-9655,12,ENGLAND,ENGLISH,1972,EV XY,1398,30,107,138,245,108,153,96,602,223,176,151,327,123,142,95,687,0.749,0.135,7.4,0.876,0.00526,0.5996,0.506,M,ZA501,TAYLOR & FRANCIS LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",90/104,Q4,13.942
MATH COMPUT MODEL,Math. Comput. Model.,MATHEMATICAL AND COMPUTER MODELLING,0895-7177,12,ENGLAND,ENGLISH,1988,EV EW PN,5680,0,4,615,619,467,895,524,2505,0,0,453,453,225,530,356,1564,1.366,,6.8,1.602,0.01297,1.47858,0.548,M,UC250,PERGAMON-ELSEVIER SCIENCE LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",58/104,Q3,44.712
SIMUL-T SOC MOD SIM,Simul.-Trans. Soc. Model. Simul. Int.,SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,0037-5497,12,ENGLAND,ENGLISH,2002,EV EW,892,6,37,73,110,81,47,33,271,63,80,92,172,95,62,42,371,0.640,0.095,>10,0.730,0.00110,0.12501,0.195,M,WH076,SAGE PUBLICATIONS LTD,EV,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",93/104,Q4,11.058
